run_id,point_index,lambda,bus_row,bus_ext,VM,VA,base_kv,bus_type,physical
beerten_vsc,12,0.522210245798959,2,2,1,-3.39099079024959,230,2,1
beerten_vsc,12,0.522210245798959,3,3,1,-6.56671511458364,230,1,1
beerten_vsc,12,0.522210245798959,4,4,0.99152187188562,-7.01383202891765,230,1,1
beerten_vsc,12,0.522210245798959,5,5,0.97462747304005,-7.1416540783347,230,1,1
beerten_vsc,12,0.522210245798959,6,7,0.984090440879332,-8.77944617054558,230,1,1
beerten_vsc,13,0.568960624407158,1,1,1.06,0,230,3,1
beerten_vsc,13,0.568960624407158,2,2,1,-3.48362622620955,230,2,1
beerten_vsc,13,0.568960624407158,3,3,1,-6.80988822360458,230,1,1
beerten_vsc,13,0.568960624407158,4,4,0.99112144702242,-7.26451443019833,230,1,1
beerten_vsc,13,0.568960624407158,5,5,0.973156617741073,-7.41574652359222,230,1,1
