run_id,point_index,lambda,branch_row,from_bus_ext,to_bus_ext,PF,QF,PT,QT,RATE_A,MVA_F,MVA_T,loading_pct,status
beerten_vsc,15,0.662042496697028,6,3,4,34.0664902410824,20.042342427223,-33.9061596478654,-21.5420722746604,250,39.5249446212873,40.1707423375923,16.0682969350369,1
beerten_vsc,15,0.662042496697028,7,4,5,3.74070028741151,4.60695330137254,-3.68864156455012,-9.25575855311014,250,5.93437927345968,9.96369123293161,3.98547649317265,1
beerten_vsc,15,0.662042496697028,8,4,7,66.714383416766,10.6370479563409,-66.4816998693738,-8.31021248241895,250,67.5570554709481,66.9990749863343,27.0228221883793,1
beerten_vsc,16,0.70836375679328,1,1,2,137.283664411771,60.6760981684644,-133.198792628338,-54.7922828181658,250,150.094614837685,144.02816604426,60.0378459350739,1
beerten_vsc,16,0.70836375679328,2,1,3,61.2522768794931,7.09207163521799,-58.5111785224637,-4.17777656412972,250,61.6614863833264,58.6601383318128,24.6645945533306,1
beerten_vsc,16,0.70836375679328,3,2,3,33.2984996984755,-11.8928415042934,-32.5745046613564,10.0648266156506,250,35.3585882243001,34.0939743757726,14.1434352897201,1
beerten_vsc,16,0.70836375679328,4,2,4,38.8509172436539,-7.82795375319058,-37.9249019542804,6.64616837220057,250,39.6316872039954,38.5028536899983,15.8526748815982,1
beerten_vsc,16,0.70836375679328,5,2,5,65.2703518884538,5.29177172188458,-63.5478130889479,-3.03171575569886,250,65.4845148382358,63.6200899780188,26.1938059352943,1
beerten_vsc,16,0.70836375679328,6,3,4,34.8487448729332,21.1418267016011,-34.678275322043,-22.6103336734861,250,40.7604202075901,41.3981879813331,16.5592751925332,1
beerten_vsc,16,0.70836375679328,7,4,5,4.02246344408969,4.96071095216122,-3.96442112221764,-9.58230710182031,250,6.38661610791897,10.3700165972809,4.14800663891236,1
beerten_vsc,16,0.70836375679328,8,4,7,68.5807138305896,11.003454354554,-68.3345502734244,-8.54181878290204,250,69.4578312161126,68.8663446771433,27.783132486445,1
beerten_vsc,17,0.754531336278256,1,1,2,139.925722228151,59.9866315837206,-135.726118832288,-53.758621396133,250,152.241924941294,145.984823552619,60.8967699765177,1
beerten_vsc,17,0.754531336278256,2,1,3,62.9997098059309,6.75956216087829,-60.1086305482177,-3.39532438773885,250,63.3613061437206,60.204449121972,25.3445224574882,1
beerten_vsc,17,0.754531336278256,3,2,3,34.6328897292551,-12.2400018867783,-33.8503129154711,10.5877323281303,250,36.7322024548907,35.467502876964,14.6928809819563,1
beerten_vsc,17,0.754531336278256,4,2,4,40.2920940503081,-7.96768535475715,-39.2966543834368,6.99579277053531,250,41.0723368323655,39.9145106724303,16.4289347329462,1
beerten_vsc,17,0.754531336278256,5,2,5,67.9075849732164,5.86367705167551,-66.04131943857,-3.16807970159026,250,68.1602729268374,66.1172640252368,27.2641091707349,1
beerten_vsc,17,0.754531336278256,6,3,4,35.6309997217167,22.248355088704,-35.4499943061668,-23.6844446344723,250,42.0066357296325,42.6339654964284,17.0535861985713,1
beerten_vsc,17,0.754531336278256,7,4,5,4.30539745297856,5.31601736723352,-4.24100175116486,-9.90926016592734,250,6.84079585113039,10.7786609970542,4.31146439882169,1
beerten_vsc,17,0.754531336278256,8,4,7,70.4412512352056,11.3726345021936,-70.1812534530187,-8.77265668032386,250,71.3533929894146,70.7274193044513,28.5413571957658,1
beerten_vsc,18,0.800539553508722,1,1,2,142.573172409826,59.3003665134319,-138.255838019802,-52.7191633433591,250,154.413869065021,147.966168194562,61.7655476260082,1
beerten_vsc,18,0.800539553508722,2,1,3,64.7481832888546,6.43453930491194,-61.7024230481365,-2.60625858275765,250,65.067123305657,61.7574416067522,26.0268493222628,1
beerten_vsc,18,0.800539553508722,3,2,3,35.9663988531463,-12.5832133660994,-35.1230471021767,11.1132686190083,250,38.1040562811938,36.8392884993719,15.2416225124775,1
beerten_vsc,18,0.800539553508722,4,2,4,41.7312602812722,-8.10175825832657,-40.6640225581683,7.34688694017599,250,42.5104289738371,41.3223847124407,17.0041715895348,1
beerten_vsc,18,0.800539553508722,5,2,5,70.5401423832335,6.45063762250648,-68.524492652813,-3.30251186332659,250,70.834471927048,68.6040281465515,28.3337887708192,1
beerten_vsc,18,0.800539553508722,6,3,4,36.4131610252356,23.3617758428127,-36.221219583429,-24.7642437611246,250,43.2630427314072,43.8776083802591,17.5510433521036,1
beerten_vsc,18,0.800539553508722,7,4,5,4.58947754292186,5.6728345093763,-4.51835408936412,-10.2365671448335,250,7.29687299380733,11.1894070704197,4.47576282816786,1
beerten_vsc,18,0.800539553508722,8,4,7,72.2957645974905,11.7445223171405,-72.021582142423,-9.00269776646551,250,73.2435074473743,72.5820698338929,29.2974029789497,1
beerten_vsc,19,0.846382554151754,1,1,2,145.225678241547,58.6174116814958,-140.78761558434,-51.6740237098756,250,156.609382135794,149.971188660665,62.6437528543177,1
beerten_vsc,19,0.846382554151754,2,1,3,66.4974573120609,6.11704163920288,-63.292340866127,-1.81069230140125,250,66.7782152156308,63.3182360692744,26.7112860862523,1
beerten_vsc,19,0.846382554151754,3,2,3,37.2988625526603,-12.9224491412544,-36.392559526881,11.6413582185925,250,39.4739767382329,38.2091561028396,15.7895906952932,1
beerten_vsc,19,0.846382554151754,4,2,4,43.1682293657101,-8.23018123404526,-42.0268426548423,7.69939117171078,250,43.9457837535728,42.7262931688427,17.5783135014291,1
beerten_vsc,19,0.846382554151754,5,2,5,73.167674704505,7.05255841306023,-70.9970127536758,-3.43500611234508,250,73.5067833729234,71.0800611067369,29.4027133491694,1
