run_id,point_index,lambda,busdc_row,dc_bus_ext,VDC,PDC
beerten_vsc,22,0.982859675351838,1,2,1,1.00801282157784
beerten_vsc,22,0.982859675351838,2,3,1,1
beerten_vsc,22,0.982859675351838,3,5,1,0.998012001862198
beerten_vsc,23,1.02798072003678,1,2,1,1.00801280622719
beerten_vsc,23,1.02798072003678,2,3,1,1
beerten_vsc,23,1.02798072003678,3,5,1,0.998011965198159
beerten_vsc,24,1.07290557509939,1,2,1,1.00801279075372
beerten_vsc,24,1.07290557509939,2,3,1,1
beerten_vsc,24,1.07290557509939,3,5,1,0.998011928240807
beerten_vsc,25,1.11762786672356,1,2,1,1.00801277515859
beerten_vsc,25,1.11762786672356,2,3,1,1
beerten_vsc,25,1.11762786672356,3,5,1,0.998011890992856
beerten_vsc,26,1.16214121106092,1,2,1,1.00801275944302
beerten_vsc,26,1.16214121106092,2,3,1,1
beerten_vsc,26,1.16214121106092,3,5,1,0.998011853457238
beerten_vsc,27,1.20643923429986,1,2,1,1.00801274360832
beerten_vsc,27,1.20643923429986,2,3,1,1
beerten_vsc,27,1.20643923429986,3,5,1,0.998011815637102
beerten_vsc,28,1.2505155922229,1,2,1,1.0080127276559
beerten_vsc,28,1.2505155922229,2,3,1,1
beerten_vsc,28,1.2505155922229,3,5,1,0.998011777535804
beerten_vsc,29,1.29436398927509,1,2,1,1.00801275294173
beerten_vsc,29,1.29436398927509,2,3,1,1
beerten_vsc,29,1.29436398927509,3,5,1,0.998011837929354
beerten_vsc,30,1.33805527008198,1,2,1,1.00801273687728
beerten_vsc,30,1.33805527008198,2,3,1,1
beerten_vsc,30,1.33805527008198,3,5,1,0.99801179956047
beerten_vsc,31,1.3815074463013,1,2,1,1.00801276223998
beerten_vsc,31,1.3815074463013,2,3,1,1
beerten_vsc,31,1.3815074463013,3,5,1,0.998011860137598
beerten_vsc,32,1.42479497889371,1,2,1,1.00801274607259
beerten_vsc,32,1.42479497889371,2,3,1,1
beerten_vsc,32,1.42479497889371,3,5,1,0.998011821522842
beerten_vsc,33,1.46783249613293,1,2,1,1.00801272984038
beerten_vsc,33,1.46783249613293,2,3,1,1
beerten_vsc,33,1.46783249613293,3,5,1,0.998011782753279
beerten_vsc,34,1.50906125401351,1,2,1,1.00801275606976
beerten_vsc,34,1.50906125401351,2,3,1,1
beerten_vsc,34,1.50906125401351,3,5,1,0.998011845400443
beerten_vsc,35,1.55011430797013,1,2,1,1.00801274045652
beerten_vsc,35,1.55011430797013,2,3,1,1
beerten_vsc,35,1.55011430797013,3,5,1,0.998011808109248
beerten_vsc,36,1.5909053199733,1,2,1,1.00801272476061
beerten_vsc,36,1.5909053199733,2,3,1,1
beerten_vsc,36,1.5909053199733,3,5,1,0.998011770620588
beerten_vsc,37,1.63142869349551,1,2,1,1.00801270898425
beerten_vsc,37,1.63142869349551,2,3,1,1
beerten_vsc,37,1.63142869349551,3,5,1,0.998011732939787
beerten_vsc,38,1.67167901648536,1,2,1,1.00801269312972
beerten_vsc,38,1.67167901648536,2,3,1,1
beerten_vsc,38,1.67167901648536,3,5,1,0.99801169507229
beerten_vsc,39,1.71165107496075,1,2,1,1.00801267719934
beerten_vsc,39,1.71165107496075,2,3,1,1
beerten_vsc,39,1.71165107496075,3,5,1,0.998011657023626
beerten_vsc,40,1.75133986636763,1,2,1,1.00801266119546
beerten_vsc,40,1.75133986636763,2,3,1,1
beerten_vsc,40,1.75133986636763,3,5,1,0.998011618799394
beerten_vsc,41,1.79074061185469,1,2,1,1.00801264512043
beerten_vsc,41,1.79074061185469,2,3,1,1
beerten_vsc,41,1.79074061185469,3,5,1,0.998011580405242
beerten_vsc,42,1.82984876736177,1,2,1,1.00801262897664
beerten_vsc,42,1.82984876736177,2,3,1,1
beerten_vsc,42,1.82984876736177,3,5,1,0.998011541846861
beerten_vsc,43,1.86866003351164,1,2,1,1.00801261276648
beerten_vsc,43,1.86866003351164,2,3,1,1
beerten_vsc,43,1.86866003351164,3,5,1,0.998011503129961
beerten_vsc,44,1.90717036424525,1,2,1,1.00801259649235
beerten_vsc,44,1.90717036424525,2,3,1,1
beerten_vsc,44,1.90717036424525,3,5,1,0.99801146426026
beerten_vsc,45,1.94537597416815,1,2,1,1.0080125646149
beerten_vsc,45,1.94537597416815,2,3,1,1
beerten_vsc,45,1.94537597416815,3,5,1,0.998011388123073
beerten_vsc,46,1.99061771697406,1,2,1,1.00801253731429
beerten_vsc,46,1.99061771697406,2,3,1,1
beerten_vsc,46,1.99061771697406,3,5,1,0.998011322917349
beerten_vsc,47,2.03579636348466,1,2,1,1.00801250952937
beerten_vsc,47,2.03579636348466,2,3,1,1
beerten_vsc,47,2.03579636348466,3,5,1,0.998011256554897
beerten_vsc,48,2.08090993458524,1,2,1,1.00801248124556
beerten_vsc,48,2.08090993458524,2,3,1,1
beerten_vsc,48,2.08090993458524,3,5,1,0.998011189000883
beerten_vsc,49,2.12595636117513,1,2,1,1.00801245244763
beerten_vsc,49,2.12595636117513,2,3,1,1
beerten_vsc,49,2.12595636117513,3,5,1,0.998011120218904
beerten_vsc,50,2.17093347924085,1,2,1,1.00801242449241
beerten_vsc,50,2.17093347924085,2,3,1,1
beerten_vsc,50,2.17093347924085,3,5,1,0.998011053449704
beerten_vsc,51,2.21585384385736,1,2,1,1.00801239468041
beerten_vsc,51,2.21585384385736,2,3,1,1
beerten_vsc,51,2.21585384385736,3,5,1,0.998010982245689
beerten_vsc,52,2.26070087176129,1,2,1,1.00801236430727
beerten_vsc,52,2.26070087176129,2,3,1,1
beerten_vsc,52,2.26070087176129,3,5,1,0.998010909701455
beerten_vsc,53,2.30547211499076,1,2,1,1.00801233335494
beerten_vsc,53,2.30547211499076,2,3,1,1
beerten_vsc,53,2.30547211499076,3,5,1,0.998010835773833
beerten_vsc,54,2.35016500647105,1,2,1,1.00801204352193
beerten_vsc,54,2.35016500647105,2,3,1,1
beerten_vsc,54,2.35016500647105,3,5,1,0.998010563332116
