run_id,point_index,lambda,vsc_row,bus_ext,dc_bus_ext,PAC,QAC,PDC,VDC,VAC_PCC,VAC_INTERNAL,PLOSS
beerten_vsc,14,0.615573036351049,2,3,3,20.66475742871,47.5055776661547,-21.9273221647548,1,1,1.01830233153444,1.26256473756512
beerten_vsc,14,0.615573036351049,3,5,5,35,5,-36.2051908363428,0.998012284369257,0.971677815702188,0.973907765782269,1.20519083634279
beerten_vsc,15,0.662042496697028,1,2,2,-60,-40,58.6710120921968,1.00801292551957,1,0.982845056350335,1.32898790780319
beerten_vsc,15,0.662042496697028,2,3,3,20.6523619953914,50.6971616073703,-21.9271211524848,1,1,1.01951099752772,1.27475915851548
beerten_vsc,15,0.662042496697028,3,5,5,35,5,-36.2053910329347,0.998012250120193,0.970191187880022,0.972424215885139,1.20539103293469
beerten_vsc,16,0.70836375679328,1,2,2,-60,-40,58.6710120921968,1.00801291105186,1,0.982845056350335,1.32898790780319
beerten_vsc,16,0.70836375679328,2,3,3,20.6394307436091,53.9113298087263,-21.9269183435316,1,1,1.02072538203227,1.28748760125117
beerten_vsc,16,0.70836375679328,3,5,5,35,5,-36.2055930189029,0.998012215565006,0.96869686773249,0.970932997546069,1.20559301890292
beerten_vsc,17,0.754531336278256,1,2,2,-60,-40,58.6710120921968,1.00801289645626,1,0.982845056350335,1.32898790780319
beerten_vsc,17,0.754531336278256,2,3,3,20.6259663892854,57.1477785263499,-21.926713741864,1,1,1.02194533075816,1.30074735381586
beerten_vsc,17,0.754531336278256,3,5,5,35,5,-36.2057967902999,0.99801218070437,0.967195000626033,0.969434255979361,1.20579679029991
beerten_vsc,18,0.800539553508722,1,2,2,-60,-40,58.6710120921968,1.00801288173317,1,0.982845056350335,1.32898790780319
beerten_vsc,18,0.800539553508722,2,3,3,20.6119707815109,60.4061758959673,-21.9265073530735,1,1,1.02317068011415,1.31453657271415
beerten_vsc,18,0.800539553508722,3,5,5,35,5,-36.2060023415498,0.998012145539239,0.965685743252472,0.967928147699459,1.20600234154981
beerten_vsc,19,0.846382554151754,1,2,2,-60,-40,58.6710120921968,1.00801286688311,1,0.982845056350334,1.32898790780319
beerten_vsc,19,0.846382554151754,2,3,3,20.5974451416539,63.6861628592281,-21.9262991843571,1,1,1.02440125767938,1.32885404376954
beerten_vsc,19,0.846382554151754,3,5,5,35,5,-36.206209665491,0.998012110070839,0.9641692630697,0.966414839962447,1.20620966549097
beerten_vsc,20,0.892054337999927,1,2,2,-60,-40,58.6710120921968,1.00801285190669,1,0.982845056350335,1.32898790780319
beerten_vsc,20,0.892054337999927,2,3,3,20.5823902533312,66.9873540817301,-21.9260892444524,1,1,1.0256368826663,1.34369899210655
beerten_vsc,20,0.892054337999927,3,5,5,35,5,-36.2064187534166,0.998012074300659,0.962645737762231,0.96489451022738,1.20641875341659
beerten_vsc,21,0.937548784233186,1,2,2,-60,-40,58.6710120921968,1.00801283680466,1,0.982845056350334,1.32898790780319
beerten_vsc,21,0.937548784233186,2,3,3,20.5668066143266,70.3093388618706,-21.9258775436153,1,1,1.02687736637455,1.35907093019303
beerten_vsc,21,0.937548784233186,3,5,5,35,5,-36.2066295951136,0.998012038230446,0.961115354720539,0.963367345636375,1.20662959511355
beerten_vsc,22,0.982859675351838,1,2,2,-60,-40,58.6710120921968,1.00801282157784,1,0.982845056350334,1.32898790780319
beerten_vsc,22,0.982859675351838,2,3,3,20.5506945587762,73.6516820553913,-21.9256640935711,1,1,1.02812251264484,1.37496953562217
beerten_vsc,22,0.982859675351838,3,5,5,35,5,-36.206842178901,0.998012001862198,0.95957831052846,0.961833542502756,1.20684217890097
beerten_vsc,23,1.02798072003678,1,2,2,-60,-40,58.6710120921968,1.00801280622719,1,0.982845056350335,1.32898790780319
beerten_vsc,23,1.02798072003678,2,3,3,20.5340543560551,77.0139250087539,-21.9254489074892,1,1,1.02937211831018,1.39139455218597
beerten_vsc,23,1.02798072003678,3,5,5,35,5,-36.2070564916687,0.998011965198159,0.958034810456664,0.960293305805266,1.20705649166869
beerten_vsc,24,1.07290557509939,1,2,2,-60,-40,58.6710120921968,1.00801279075372,1,0.982845056350335,1.32898790780319
beerten_vsc,24,1.07290557509939,2,3,3,20.5168862911033,80.395586532001,-21.92523199992,1,1,1.03062597365557,1.40834570949564
beerten_vsc,24,1.07290557509939,3,5,5,35,5,-36.2072725189173,0.998011928240807,0.956485067951815,0.958746848677996,1.20727251891733
beerten_vsc,25,1.11762786672356,1,2,2,-60,-40,58.6710120921968,1.00801277515859,1,0.982845056350335,1.32898790780319
beerten_vsc,25,1.11762786672356,2,3,3,20.4991907300039,83.7961639037119,-21.925013386781,1,1,1.03188386288325,1.42582265738675
beerten_vsc,25,1.11762786672356,3,5,5,35,5,-36.2074902447999,0.998011890992856,0.954929304121021,0.957194391895618,1.20749024479995
beerten_vsc,26,1.16214121106092,1,2,2,-60,-40,58.6710120921968,1.00801275944302,1,0.982845056350335,1.32898790780319
beerten_vsc,26,1.16214121106092,2,3,3,20.4809681734852,87.2151339264813,-21.9247930852895,1,1,1.03314556458977,1.4438249123456
beerten_vsc,26,1.16214121106092,3,5,5,35,5,-36.2077096521664,0.998011853457238,0.953367747204446,0.955636163346822,1.20770965216636
beerten_vsc,27,1.20643923429986,1,2,2,-60,-40,58.6710120921968,1.00801274360832,1,0.982845056350335,1.32898790780319
beerten_vsc,27,1.20643923429986,2,3,3,20.4622193006372,90.6519540324175,-21.9245711139251,1,1,1.03441085225468,1.46235181376561
beerten_vsc,27,1.20643923429986,3,5,5,35,5,-36.2079307226106,0.998011815637102,0.951800632034153,0.954072397494025,1.20793072261057
beerten_vsc,28,1.2505155922229,1,2,2,-60,-40,58.6710120921968,1.0080127276559,1,0.982845056350335,1.32898790780319
beerten_vsc,28,1.2505155922229,2,3,3,20.4429450044342,94.1060634422541,-21.9243474923815,1,1,1.03567949474147,1.48140248836337
beerten_vsc,28,1.2505155922229,3,5,5,35,5,-36.208153436521,0.998011777535804,0.950228199482078,0.952503334822256,1.20815343652102
beerten_vsc,29,1.29436398927509,1,2,2,-60,-40,58.6710120921968,1.00801275294173,1,0.982845056350335,1.32898790780319
beerten_vsc,29,1.29436398927509,2,3,3,20.4318977283723,96.1369967653092,-21.9247019500891,1,1,1.03642402436442,1.49280422281919
beerten_vsc,29,1.29436398927509,3,5,5,35,5,-36.2078004175413,0.998011837929354,0.95272357299724,0.954993364795096,1.20780041754126
beerten_vsc,30,1.33805527008198,1,2,2,-60,-40,58.6710120921968,1.00801273687728,1,0.982845056350335,1.32898790780319
beerten_vsc,30,1.33805527008198,2,3,3,20.411743809417,99.6259727327793,-21.9244767580513,1,1,1.03770066114912,1.51273294895137
beerten_vsc,30,1.33805527008198,3,5,5,35,5,-36.2080246955152,0.99801179956047,0.951136379926008,0.953409567818693,1.20802469551525
beerten_vsc,31,1.3815074463013,1,2,2,-60,-40,58.6710120921968,1.00801276223998,1,0.982845056350335,1.32898790780319
beerten_vsc,31,1.3815074463013,2,3,3,20.4002010102731,101.673875172551,-21.9248322932039,1,1,1.03844858995534,1.52463128407209
beerten_vsc,31,1.3815074463013,3,5,5,35,5,-36.2076706034507,0.998011860137598,0.953645207911801,0.955913032001815,1.20767060345068
beerten_vsc,32,1.42479497889371,1,2,2,-60,-40,58.6710120921968,1.00801274607259,1,0.982845056350335,1.32898790780319
beerten_vsc,32,1.42479497889371,2,3,3,20.3791689459861,105.195844617953,-21.9246056581085,1,1,1.03973245218175,1.54543671235037
beerten_vsc,32,1.42479497889371,3,5,5,35,5,-36.2078963186326,0.998011821522842,0.952044101081638,0.954315345587579,1.20789631863262
