run_id,point_index,lambda,branchdc_row,from_dc_bus_ext,to_dc_bus_ext,PFDC,PTDC
beerten_vsc,23,1.02798072003678,1,2,3,0.304322302589704,-0.304322302589704
beerten_vsc,23,1.02798072003678,2,3,5,0.0850678135148129,-0.0850678135148129
beerten_vsc,23,1.02798072003678,3,2,5,0.277723994141297,-0.277723994141297
beerten_vsc,24,1.07290557509939,1,2,3,0.304321714915439,-0.304321714915439
beerten_vsc,24,1.07290557509939,2,3,5,0.0850693949162421,-0.0850693949162421
beerten_vsc,24,1.07290557509939,3,2,5,0.277724590750239,-0.277724590750239
beerten_vsc,25,1.11762786672356,1,2,3,0.304321122620226,-0.304321122620226
beerten_vsc,25,1.11762786672356,2,3,5,0.0850709887524115,-0.0850709887524115
beerten_vsc,25,1.11762786672356,3,2,5,0.277725192050386,-0.277725192050386
beerten_vsc,26,1.16214121106092,1,2,3,0.304320525750709,-0.304320525750709
