run_id,point_index,lambda,source,trace_row,gen_idx,bus_ext,PG,QG,QMAX,QMIN,PMAX,PMIN,status,warmstart
beerten_vsc,34,1.50906125401351,cpf.gen,1,1,1,282.406539432892,50.1756438110289,500,-500,500,-500,1,0
beerten_vsc,34,1.50906125401351,cpf.gen,2,2,2,160,13.8208339942109,300,-300,300,0,1,0
beerten_vsc,35,1.55011430797013,cpf.gen,1,1,1,290.288704725,48.6518169908342,500,-500,500,-500,1,0
beerten_vsc,35,1.55011430797013,cpf.gen,2,2,2,160,17.1876038105288,300,-300,300,0,1,0
beerten_vsc,36,1.5909053199733,cpf.gen,1,1,1,298.153285136697,47.1638638907849,500,-500,500,-500,1,0
beerten_vsc,36,1.5909053199733,cpf.gen,2,2,2,160,20.578891424443,300,-300,300,0,1,0
beerten_vsc,37,1.63142869349551,cpf.gen,1,1,1,305.998912334223,45.7117444567585,500,-500,500,-500,1,0
beerten_vsc,37,1.63142869349551,cpf.gen,2,2,2,160,23.9938228724898,300,-300,300,0,1,0
beerten_vsc,38,1.67167901648536,cpf.gen,1,1,1,313.824234388361,44.2953966419831,500,-500,500,-500,1,0
beerten_vsc,38,1.67167901648536,cpf.gen,2,2,2,160,27.4315127492953,300,-300,300,0,1,0
beerten_vsc,39,1.71165107496075,cpf.gen,1,1,1,321.627919110016,42.9147363491861,500,-500,500,-500,1,0
beerten_vsc,39,1.71165107496075,cpf.gen,2,2,2,160,30.891066528536,300,-300,300,0,1,0
beerten_vsc,40,1.75133986636763,cpf.gen,1,1,1,329.408657253618,41.5696574753597,500,-500,500,-500,1,0
beerten_vsc,40,1.75133986636763,cpf.gen,2,2,2,160,34.371582559634,300,-300,300,0,1,0
beerten_vsc,41,1.79074061185469,cpf.gen,1,1,1,337.165165585702,40.2600320535614,500,-500,500,-500,1,0
beerten_vsc,41,1.79074061185469,cpf.gen,2,2,2,160,37.872154076271,300,-300,300,0,1,0
beerten_vsc,42,1.82984876736177,cpf.gen,1,1,1,344.896189793436,38.9857104905354,500,-500,500,-500,1,0
beerten_vsc,42,1.82984876736177,cpf.gen,2,2,2,160,41.3918712006038,300,-300,300,0,1,0
beerten_vsc,43,1.86866003351164,cpf.gen,1,1,1,352.600507220472,37.7465218960546,500,-500,500,-500,1,0
beerten_vsc,43,1.86866003351164,cpf.gen,2,2,2,160,44.9298229295314,300,-300,300,0,1,0
beerten_vsc,44,1.90717036424525,cpf.gen,1,1,1,360.276929417649,36.5422744996323,500,-500,500,-500,1,0
