set_name,bus_i,base_kv,vm_initial,vm_final,vm_min
all_physical,534,33,1.03312146551,1.02550712422,1.02550712422
all_physical,535,36.7,0.984062784225,0.981702301451,0.981702301451
all_physical,536,11,1,1,1
all_physical,537,6.6,1.05303375461,1.01987268245,1.01987268245
all_physical,538,33,1.05443270852,1.02295272461,1.02295272461
all_physical,539,33,1.06631922225,1.03610436876,1.03610436876
all_physical,540,33,1.00514646688,0.973231916828,0.973231916828
all_physical,541,33,1.03917799767,1.03363866698,1.03363866698
all_physical,542,33,1.04004905706,1.02023052886,1.02023052886
all_physical,544,33,0.975198136728,0.968180140388,0.968180140388
all_physical,545,33,1.01829635092,0.952029997729,0.948106585321
all_physical,546,33,1.06919721616,1.00021548206,0.996401649127
all_physical,547,33,nan,nan,nan
all_physical,548,13.2,nan,nan,nan
all_physical,549,33,0.954732675694,0.934527426627,0.934527426627
all_physical,550,33,1.01860094684,0.925457037371,0.925457037371
all_physical,551,33,1.00466153631,0.99170909104,0.99170909104
all_physical,552,33,1.00667108103,0.994672161547,0.994672161547
all_physical,553,33,0.984144015921,0.978627575178,0.978627575178
all_physical,554,33,1.02145419602,0.924227527823,0.924227527823
all_physical,556,33,0.968340617484,0.860861576633,0.857498808992
all_physical,557,13.2,0.967868832285,0.8602561146,0.856905899445
all_physical,558,33,1.00614917699,0.997404679145,0.997404679145
all_physical,559,33,1.01040820564,1.00227506326,1.00227506326
all_physical,560,33,1.03698118355,1.03098036013,1.03098036013
all_physical,561,33,1.03952993819,1.03424490069,1.03424490069
all_physical,562,33,1.0353281711,1.02956037567,1.02956037567
all_physical,563,33,1.03709929463,1.0317010632,1.0317010632
all_physical,564,33,1.03545640536,1.0303038789,1.0303038789
all_physical,565,33,1.0379591626,1.03309061409,1.03309061409
all_physical,566,33,1.03261999574,1.02726502366,1.02726502366
all_physical,567,33,1.03677919345,1.03245535133,1.03245535133
all_physical,568,33,1.00291820041,0.985976700668,0.985976700668
all_physical,570,33,0.972078024891,0.906440059761,0.906440059761
all_physical,571,33,0.974927760745,0.912080631511,0.912080631511
all_physical,572,33,1.00213162565,0.994172933697,0.994172933697
all_physical,573,33,1.01697525786,0.924381969225,0.924381969225
all_physical,576,33,nan,nan,nan
all_physical,577,33,nan,nan,nan
all_physical,578,33,1.00847508992,1.00366899451,1.00366899451
all_physical,579,33,1.06133706804,1.04610881017,1.04610881017
all_physical,580,33,1.02323460798,0.930765764949,0.930765764949
all_physical,581,33,nan,nan,nan
all_physical,582,33,nan,nan,nan
all_physical,583,33,1.03973111374,1.02010529368,1.02010529368
all_physical,598,33,1.03712127104,0.763174546613,0.763174546613
all_physical,599,33,1.04105770676,0.768291124856,0.768291124856
all_physical,601,0.7,1.00622610242,0.968600927136,0.968600927136
all_physical,602,0.6,1,1,1
all_physical,603,0.7,nan,nan,nan
all_physical,604,6,1.04,1.01521624859,1.01521624859
all_physical,605,0.7,1.00408212797,0.98713611653,0.98713611653
all_physical,607,10.4,1,1,1
all_physical,608,0.7,1,1,1
all_physical,609,0.7,1,1,1
all_physical,618,0.4,1,1,1
all_physical,619,11,1,1,1
all_physical,620,6.3,1.04,1.04,1.04
all_physical,621,0.9,nan,nan,nan
all_physical,622,0.9,nan,nan,nan
all_physical,623,0.9,nan,nan,nan
all_physical,624,0.9,nan,nan,nan
all_physical,650,0.7,1.02,1.02,1.02
all_physical,651,0.7,1,1,1
all_physical,652,0.6,1,1,1
all_physical,654,0.7,1.04339154461,1.00859909629,1.00859909629
all_physical,656,0.7,1.03638200441,0.78242611361,0.78242611361
all_physical,657,0.7,1.02,0.625701457864,0.625701457864
all_physical,658,0.7,1.02,1.02,1.02
all_physical,659,0.4,1,1,1
all_physical,661,11,1.05,0.964585720865,0.964585720865
all_physical,662,11,1.04264691833,0.954615890559,0.954615890559
all_physical,663,0.4,1.10675416863,1.07780008016,1.07780008016
all_physical,664,0.58,0.967341826714,0.947358985574,0.947358985574
all_physical,665,0.7,1.04503556935,0.772757229829,0.772757229829
all_physical,670,10.5,nan,nan,nan
all_physical,671,10.5,nan,nan,nan
all_physical,673,13.2,nan,nan,nan
all_physical,674,13.2,nan,nan,nan
all_physical,675,0.69,1.01505604,0.984586250459,0.984586250459
all_physical,676,0.69,0.995785628,0.995785628,0.995785628
all_physical,679,0.7,1.03,1.03,1.03
all_physical,680,0.7,1.03,1.03,1.03
all_physical,684,0.7,1.03,1.03,1.03
all_physical,685,0.7,1.03,1.03,1.03
all_physical,686,0.7,1.03,1.03,1.03
all_physical,687,0.6,1.03,1.03,1.03
all_physical,688,0.7,1,1,1
all_physical,691,0.7,1.02,1.02,1.02
all_physical,692,0.7,1.02,1.02,1.02
all_physical,720,132,1.03610299457,1.03913826531,0.983303747235
all_physical,721,132,1.03072609884,1.03091354146,0.973542718482
all_physical,1008,500,1.01626219247,1.00324159287,1.00324159287
all_physical,1226,132,1.03490022753,1.02102191087,1.02102191087
all_physical,1804,13.2,0.966239524883,0.953245049916,0.953245049916
all_physical,2206,132,1.0421645598,1.03077543164,1.03077543164
all_physical,2208,132,1.04215817973,1.03077413038,1.03077413038
all_physical,2222,132,0.957436714635,0.856728337612,0.856728337612
all_physical,2302,132,1.01729169068,0.954147011295,0.954147011295
all_physical,222201,1,0.972957994165,0.858287147548,0.858287147548
all_physical,222202,1,0.980068756832,0.867561688637,0.867561688637
all_physical,222231,33,0.979780983418,0.867240700117,0.867240700117
all_physical,222232,33,0.987798744585,0.877716911811,0.877716911811
all_physical,222291,13.2,0.972957994165,0.858287147548,0.858287147548
all_physical,222292,13.2,0.980068756832,0.867561688637,0.867561688637
all_physical,230201,1,1.00704936048,0.924582999717,0.924582999717
all_physical,230231,33,1.02128969079,0.942474477593,0.942474477593
all_physical,230291,13.2,1.00704936048,0.924582999717,0.924582999717
boundary_ports,1008,500,1.01626219247,1.00324159287,1.00324159287
boundary_ports,1226,132,1.03490022753,1.02102191087,1.02102191087
boundary_ports,2206,132,1.0421645598,1.03077543164,1.03077543164
boundary_ports,2208,132,1.04215817973,1.03077413038,1.03077413038
boundary_ports,2222,132,0.957436714635,0.856728337612,0.856728337612
boundary_ports,2302,132,1.01729169068,0.954147011295,0.954147011295
buses_500kv,10,500,1.02890173682,1.00184821801,1.00184821801
buses_500kv,11,500,0.988769931985,0.935634837833,0.935634837833
buses_500kv,12,500,1.01669444718,1.00530660273,0.972831102623
buses_500kv,15,500,1.01168427886,0.98842287439,0.957285975123
buses_500kv,19,500,1.0092234272,0.980777663278,0.950258425994
buses_500kv,1008,500,1.01626219247,1.00324159287,1.00324159287
switched_shunt_buses,10,500,1.02890173682,1.00184821801,1.00184821801
switched_shunt_buses,12,500,1.01669444718,1.00530660273,0.972831102623
switched_shunt_buses,15,500,1.01168427886,0.98842287439,0.957285975123
switched_shunt_buses,19,500,1.0092234272,0.980777663278,0.950258425994
switched_shunt_buses,212,33,1.02751263654,0.683720711976,0.683720711976
switched_shunt_buses,222,33,1.00573186383,0.753703187082,0.753703187082
switched_shunt_buses,254,33,1.0260509718,0.769640085154,0.769640085154
switched_shunt_buses,255,33,1.01622147757,0.678500803813,0.678500803813
switched_shunt_buses,259,132,1.00583550547,0.753076613843,0.753076613843
switched_shunt_buses,268,132,1.00573944812,0.752832000468,0.752832000468
switched_shunt_buses,269,132,1.00573944812,0.752832000468,0.752832000468
switched_shunt_buses,317,132,nan,nan,nan
switched_shunt_buses,334,33,0.970878462535,0.808649331,0.808649331
switched_shunt_buses,450,132,0.992770242212,0.969814671196,0.969814671196
switched_shunt_buses,566,33,1.03261999574,1.02726502366,1.02726502366
switched_shunt_buses,570,33,0.972078024891,0.906440059761,0.906440059761
switched_shunt_buses,598,33,1.03712127104,0.763174546613,0.763174546613
switched_shunt_buses,1008,500,1.01626219247,1.00324159287,1.00324159287
