bus_i,base_kv,lambda_from,lambda_to,vm_from,vm_to,delta_vm
513,33.0,0.755798575658643,0.772772304146948,1.0432841239581,1.00459207402135,-0.03869204993675002
458,132.0,0.755798575658643,0.772772304146948,1.01670646113266,0.978065413765056,-0.03864104736760399
461,132.0,0.755798575658643,0.772772304146948,0.969000021971022,0.930564818294971,-0.03843520367605102
604,6.0,0.755798575658643,0.772772304146948,1.06080478651487,1.02259128150216,-0.038213505012709925
470,132.0,0.755798575658643,0.772772304146948,0.969146145363504,0.931136412687408,-0.038009732676095975
472,35.0,0.755798575658643,0.772772304146948,0.969146145363504,0.931136412687408,-0.038009732676095975
459,132.0,0.755798575658643,0.772772304146948,0.969051160986604,0.931045153580212,-0.03800600740639204
460,132.0,0.755798575658643,0.772772304146948,0.969051160986604,0.931045153580212,-0.03800600740639204
467,132.0,0.755798575658643,0.772772304146948,0.969686359471273,0.931862420894392,-0.037823938576881044
554,33.0,0.755798575658643,0.772772304146948,0.968964405029379,0.931283024691816,-0.037681380337562964
504,33.0,0.739592919815784,0.755798575658643,0.979140993512925,0.941664523884814,-0.03747646962811102
315,132.0,0.739592919815784,0.755798575658643,0.979424183474485,0.941959588099085,-0.037464595375400034
463,35.0,0.755798575658643,0.772772304146948,0.907798578017738,0.874501988472087,-0.033296589545650956
462,35.0,0.755798575658643,0.772772304146948,0.907805831293773,0.874509535138469,-0.03329629615530405
468,10.5,0.755798575658643,0.772772304146948,0.907805831293773,0.874509535138469,-0.03329629615530405
550,33.0,0.253853526079855,0.276653639409722,1.01355968385174,1.0463207333815,0.03276104952975989
465,132.0,0.755798575658643,0.772772304146948,0.971845280969501,0.939757537579842,-0.03208774338965892
570,33.0,0.299492095345874,0.32234093309399,0.971211348905437,0.939183784615296,-0.032027564290141086
464,13.8,0.755798575658643,0.772772304146948,0.872671127058918,0.840724330272043,-0.031946796786875065
466,10.5,0.755798575658643,0.772772304146948,0.8725121771253,0.84061534632305,-0.03189683080225003
457,132.0,0.755798575658643,0.772772304146948,0.919013104590055,0.887753268655465,-0.03125983593459003
441,132.0,0.755798575658643,0.772772304146948,0.928063320170257,0.897089857997607,-0.030973462172649957
455,132.0,0.755798575658643,0.772772304146948,0.933725858588063,0.903172883903601,-0.030552974684462053
571,33.0,0.299492095345874,0.32234093309399,0.97411759940506,0.944178366950153,-0.02993923245490704
402,132.0,0.299492095345874,0.32234093309399,1.03313114566137,1.00368801261549,-0.0294431330458802
448,132.0,0.755798575658643,0.772772304146948,0.950749852393982,0.921541434851937,-0.029208417542045062
446,132.0,0.755798575658643,0.772772304146948,0.977704007749288,0.948781175007118,-0.02892283274217
526,33.0,0.253853526079855,0.276653639409722,1.00914695576503,1.03791485863581,0.028767902870779904
662,11.0,0.755798575658643,0.772772304146948,0.99194239800278,0.963272912937193,-0.028669485065586975
661,11.0,0.755798575658643,0.772772304146948,1.00154848724334,0.973155926891352,-0.028392560351988005
12,500.0,0.739592919815784,0.755798575658643,0.97283110262269,1.00057969412261,0.027748591499919928
479,33.0,0.739592919815784,0.755798575658643,0.996195358798248,0.969066047754511,-0.02712931104373706
573,33.0,0.253853526079855,0.276653639409722,1.01178900818573,1.03879840173614,0.0270093935504101
580,33.0,0.253853526079855,0.276653639409722,1.01805871616195,1.04501028936176,0.02695157319981001
403,132.0,0.755798575658643,0.772772304146948,0.974048972938579,0.947137290924763,-0.026911682013815996
484,33.0,0.739592919815784,0.755798575658643,0.995953203889884,0.969053401615611,-0.02689980227427291
15,500.0,0.739592919815784,0.755798575658643,0.957285975123367,0.983999234241891,0.026713259118523958
19,500.0,0.739592919815784,0.755798575658643,0.950258425993579,0.976481129810502,0.026222703816922932
598,33.0,0.230925051905366,0.253853526079855,1.02883836741053,1.00281916290484,-0.026019204505689952
599,33.0,0.230925051905366,0.253853526079855,1.03280364719886,1.00687458775843,-0.025929059440430002
665,0.7,0.230925051905366,0.253853526079855,1.03681069292151,1.01093921349768,-0.025871479423829946
480,132.0,0.755798575658643,0.772772304146948,1.01840881785887,0.992665246196478,-0.02574357166239194
461,132.0,0.739592919815784,0.755798575658643,0.994725726854189,0.969000021971022,-0.025725704883167055
483,132.0,0.755798575658643,0.772772304146948,1.02145211250329,0.995864772620806,-0.025587339882484073
254,33.0,0.230925051905366,0.253853526079855,1.01792226849749,0.992392688444357,-0.025529580053132994
256,33.0,0.230925051905366,0.253853526079855,1.02201654909524,0.996579168890161,-0.02543738020507902
253,132.0,0.230925051905366,0.253853526079855,1.00942266955595,0.984000766833314,-0.025421902722636114
470,132.0,0.739592919815784,0.755798575658643,0.994500188581805,0.969146145363504,-0.025354043218301037
472,35.0,0.739592919815784,0.755798575658643,0.994500188581805,0.969146145363504,-0.025354043218301037
459,132.0,0.739592919815784,0.755798575658643,0.99440271929795,0.969051160986604,-0.025351558311345945
460,132.0,0.739592919815784,0.755798575658643,0.99440271929795,0.969051160986604,-0.025351558311345945
656,0.7,0.230925051905366,0.253853526079855,1.02833104148942,1.00301397162817,-0.02531706986124993
495,132.0,0.755798575658643,0.772772304146948,1.0216045603004,0.996309765694959,-0.02529479460544104
467,132.0,0.739592919815784,0.755798575658643,0.994915865750297,0.969686359471273,-0.025229506279023983
474,35.0,0.755798575658643,0.772772304146948,0.960861857768055,0.93574231138705,-0.025119546381004998
