gen_row,bus,bus_name,status,PG,QG,MBASE,Smax,gen_type_code,gen_type,enforce,classification_rule
101,620,RESCHI02    ,1,4,-1.25717677,6.1,6.1,2,thermal,1,default_physical_thermal
102,621,FLECEO01    ,0,0,0,78,78,3,wind,1,bus_name_contains_EO
103,622,FLECEO02    ,0,0,0,78,78,3,wind,1,bus_name_contains_EO
104,623,FLECEO03    ,0,0,0,78,78,3,wind,1,bus_name_contains_EO
105,624,FLECEO04    ,0,0,0,78,78,3,wind,1,bus_name_contains_EO
106,650,GARAEO01    ,1,18,0.0142918226,25.2,25.2,3,wind,1,bus_name_contains_EO
107,651,CHNOEO01    ,1,16,-4.11876793,28.8,28.8,3,wind,1,bus_name_contains_EO
108,652,LHEREO01    ,1,50,-9.39049003,97.2,97.2,3,wind,1,bus_name_contains_EO
109,654,BICEEO01    ,1,50,-1.09520877,100.8,100.8,3,wind,1,bus_name_contains_EO
110,656,ALU1EO01    ,1,38.6,3.34953528,77.4,77.4,3,wind,1,bus_name_contains_EO
111,657,ALUAEO02    ,1,42,3.09155824,100,100,3,wind,1,bus_name_contains_EO
112,658,BIC2EO01    ,1,11,-6.43800816,25.2,25.2,3,wind,1,bus_name_contains_EO
113,659,DIA2EO01    ,1,14,7.31270628,29.4,29.4,3,wind,1,bus_name_contains_EO
114,661,YPFATG01    ,1,30,9.22104997,45,45,2,thermal,1,default_physical_thermal
115,662,YPFATG02    ,1,30,9.22104997,45,45,2,thermal,1,default_physical_thermal
116,663,RESCHI01    ,1,5,-2.61262484,9,9,2,thermal,1,default_physical_thermal
117,664,KOSTEO01    ,1,16,9.6706636,25.2,25.2,3,wind,1,bus_name_contains_EO
118,665,ALUAEO01    ,1,43,1.79939954,86.7,86.7,3,wind,1,bus_name_contains_EO
119,670,RCHITG01    ,1,0,0,21.88,21.88,2,thermal,1,default_physical_thermal
120,671,RCHITG02    ,1,0,0,21.88,21.88,2,thermal,1,default_physical_thermal
121,673,RCHITG03    ,0,0,0,12.5,12.5,2,thermal,1,default_physical_thermal
122,674,RCHITG04    ,0,0,0,12.5,12.5,2,thermal,1,default_physical_thermal
123,675,RAW1EO      ,1,45,3.5,86.05,86.05,3,wind,1,bus_name_contains_EO
124,676,RAW3EO01    ,1,16,4.98,26.21,26.21,3,wind,1,bus_name_contains_EO
125,679,PMA1EO01    ,1,35.5,-1.41825405,72.3,72.3,3,wind,1,bus_name_contains_EO
126,680,PMA2EO01    ,1,75,-18.123592,152.8,152.8,3,wind,1,bus_name_contains_EO
127,684,LOM1EO01    ,1,20,-4.7167918,52.5,52.5,3,wind,1,bus_name_contains_EO
128,685,LOM3EO01    ,1,20,-3.33454237,52.5,52.5,3,wind,1,bus_name_contains_EO
129,686,LOM2EO01    ,1,22,-3.78258598,52.5,52.5,3,wind,1,bus_name_contains_EO
130,687,LBLAEO04    ,1,22,-6.23352738,51,51,3,wind,1,bus_name_contains_EO
131,688,LOM6EO01    ,1,22,-0.168238463,50.4,50.4,3,wind,1,bus_name_contains_EO
132,691,MANAEO01    ,1,31,7.05478779,50.4,50.4,3,wind,1,bus_name_contains_EO
133,692,MANAEO01    ,1,31,7.05956337,50.4,50.4,3,wind,1,bus_name_contains_EO
134,901008,SADI_EQ_1008,1,-792.804725,124.783513,100,100,2,equivalent,0,sadi_boundary_equivalent_not_enforced
135,901226,SADI_EQ_1226,1,-4.83922744,-13.8885011,100,100,2,equivalent,0,sadi_boundary_equivalent_not_enforced
136,902206,SADI_EQ_2206,1,128.480025,-15.2968743,100,100,2,equivalent,0,sadi_boundary_equivalent_not_enforced
137,902208,SADI_EQ_2208,1,121.029243,-21.0548965,100,100,2,equivalent,0,sadi_boundary_equivalent_not_enforced
138,902222,SADI_EQ_2222,1,22.1921597,12.6176158,100,100,2,equivalent,0,sadi_boundary_equivalent_not_enforced
139,902302,SADI_EQ_2302,1,-34.0813291,-2.83652839,100,100,2,equivalent,0,sadi_boundary_equivalent_not_enforced
