accepted_index,lambda,total_demand_MW,phase,AC_bus_1_pu,AC_bus_2_pu,AC_bus_3_pu,AC_bus_4_pu,AC_bus_5_pu,AC_bus_6_pu,AC_bus_7_pu,VSC1_filter_pu,VSC1_internal_pu,VSC2_filter_pu,VSC2_internal_pu,VSC3_filter_pu,VSC3_internal_pu,DC_bus_2_pu,DC_bus_3_pu,DC_bus_5_pu
16,0.605808976649262,310.394154395823,increasing_demand,1.06,0.994999602151748,1,0.987624801042387,0.920785258971777,1,0.971930428622907,0.994959402957997,0.97862724126591,1.00004043547093,1.01592338356859,0.920790689904088,0.923380190402496,1.00800317369654,1,0.998005674620458
17,0.64110820076873,318.865968184495,increasing_demand,1.06,0.993573504857628,1,0.986684637792256,0.913894234075861,1,0.970995529831764,0.993533247970372,0.977178486351164,1.00004470573192,1.01760148804414,0.913899705970927,0.91651062521915,1.00800298117429,1,0.998005420001704
18,0.675691013353993,327.165843204958,increasing_demand,1.06,0.992116908044285,1,0.98572681013237,0.906906756402013,1,0.970043054238041,0.992076592058455,0.975698683943367,1.00004906619212,1.01931503586652,0.906912270469098,0.909545285023336,1.00800278302618,1,0.998005157138412
19,0.709511185565075,335.282684535618,increasing_demand,1.06,0.99063168106945,1,0.984752408740306,0.899829700955526,1,0.969074085773553,0.990591304644504,0.974189729015144,1.00005351148728,1.0210619189656,0.899835258403173,0.902491048655554,1.00800257932933,1,0.998004885998771
20,0.742522587744971,343.205421058793,increasing_demand,1.06,0.989119953689787,1,0.983762681260892,0.892670933610798,1,0.968089864503087,0.989079515560964,0.972653781342249,1.0000580354836,1.02283972686953,0.892676535639997,0.895355782387597,1.00800237019551,1,0.998004606593058
21,0.774680133728098,350.923232094744,increasing_demand,1.06,0.987584100102874,1,0.98275902252603,0.885439238805612,1,0.967091776910814,0.987543599091996,0.971093249367637,1.00006263132278,1.02464576439808,0.8854448866028,0.88814826749053,1.00800215577124,1,0.998004318975115
22,0.805940778567897,358.425786856295,increasing_demand,1.06,0.986026712989045,1,0.981742958721896,0.878144208538773,1,0.966081340167196,0.985986148014467,0.969510763902085,1.00006729149661,1.02647708097294,0.878149903268896,0.880878089227728,1.00800193623655,1,0.998004023242287
23,0.836264518621472,365.703484469153,increasing_demand,1.06,0.984450568124923,1,0.980716125867318,0.870796095598254,1,0.96506018073749,0.98440993821022,0.967909142237982,1.00007200794942,1.02833051090712,0.870801838398162,0.87355549020839,1.0080017118025,1,0.998003719533806
24,0.865615339386118,372.747681452668,increasing_demand,1.06,0.982858580867667,1,0.979680243403175,0.863405636707309,1,0.964030008126622,0.982817885148701,0.966291343993026,1.00007677220486,1.03020272319742,0.863411428679717,0.866191193791205,1.00800148270754,1,0.99800340802752
25,0.893962057562277,379.550893814946,increasing_demand,1.06,0.981253756481799,1,0.978637084098118,0.855983853803524,1,0.9629925849585,0.981212994211871,0.964660420682623,1.00008157551098,1.03209027855665,0.855989696011776,0.85879620574389,1.00800124921265,1,0.998003088935183
26,0.921279008915636,386.106962139753,increasing_demand,1.06,0.979639136875071,1,0.97758844183306,0.848541843859801,1,0.961949694943146,0.979598307427965,0.963019461627268,1.00008640899629,1.03398969074078,0.848547737323627,0.851381604549349,1.00800101159579,1,0.998002762496448
27,0.947546544855371,392.411170765289,increasing_demand,1.06,0.978017746598546,1,0.976536098999184,0.84109056860247,1,0.960903110456594,0.977976849469392,0.961371539093809,1.00009126382834,1.03589748886772,0.841096514294868,0.84395833168663,1.00800077014572,1,0.998002428971935
28,0.972751315137758,398.460315633062,increasing_demand,1.06,0.976392541005338,1,0.975481795262806,0.833640655426497,1,0.959854561477174,0.976351575809326,0.959719655611656,1.00009613136633,1.03781027738137,0.833646654271816,0.83653699315395,1.00800052515568,1,0.998002088635797
29,0.996886331049161,404.252719451799,increasing_demand,1.06,0.974766359176236,1,0.974427199272934,0.826202219485726,1,0.95880570744554,0.974725325645334,0.958066696116545,1.00010100330001,1.03972479063203,0.826208272358942,0.829127682176411,1.00800027691723,1,0.998001741768141
30,1.01995081997257,409.788196793416,increasing_demand,1.06,0.973141883681977,1,0.973373884556605,0.818784714645431,1,0.957758113287025,0.973100781659896,0.956415387025702,1.00010587176867,1.04163793965867,0.818790822372561,0.821739830754198,1.00800002571449,1,0.998001388647753
31,1.04194989645946,415.067975150271,increasing_demand,1.06,0.971521608555101,1,0.972323310419764,0.811396818115794,1,0.956713230410069,0.97148043799081,0.954768263643743,1.00011072945635,1.04354684955974,0.811402981475345,0.814382094840928,1.00799977181919,1,0.998001029545477
32,1.06289408469679,420.094580327231,increasing_demand,1.06,0.969907816112967,1,0.971276808228565,0.804046350679464,1,0.955672383054107,0.969866577053102,0.953127646554818,1.00011556966092,1.04544888668724,0.804052570404747,0.807062275044909,1.00799951548656,1,0.998000664718488
33,1.08279873270946,424.871695850271,increasing_demand,1.06,0.968302562584732,1,0.970235573026229,0.796740231716706,1,0.954636759942889,0.968261255165245,0.951495626955958,1.00012038633758,1.04734167568976,0.796746508498864,0.799787272044112,1.00799925695208,1,0.998000294405542
34,1.10168335977794,429.404006346705,increasing_demand,1.06,0.966707671897479,1,0.969200660080246,0.789484465944612,1,0.953607410840748,0.96666629633487,0.949874060280785,1.00012517411814,1.04922310712869,0.789490800436173,0.792563073626419,1.00799899642924,1,0.997999918823367
35,1.11957097550457,433.697034121096,increasing_demand,1.06,0.965124736583156,1,0.96817298571821,0.782284157344969,1,0.952585247374124,0.965083293165572,0.948264567059058,1.00012992830949,1.05109133685021,0.782290550163759,0.785394768831422,1.00799873410833,1,0.997999538164121
36,1.13648740319452,437.756976766686,increasing_demand,1.06,0.96355512455755,1,0.967153331686875,0.775143545058545,1,0.951571047357459,0.963513613636008,0.946668539749122,1.00013464487466,1.05294477854225,0.775149996791797,0.77828658397828,1.00799847015578,1,0.997999152593839
37,1.15246063382294,441.590552117505,increasing_demand,1.06,0.961999990401572,1,0.966142352198528,0.768066055657062,1,0.950565461792448,0.961958412381507,0.945087154148346,1.00013932040052,1.05478209105024,0.768072566865598,0.771241935001484,1.00799820471431,1,0.997998762251693
38,1.16752022921797,445.204855012312,increasing_demand,1.06,0.960460289854039,1,0.965140582879479,0.761054366630395,1,0.949569023759878,0.960418645187326,0.943521384074393,1.00014395205597,1.05660216194168,0.761060937852763,0.764263490943547,1.00799793790358,1,0.997998367249978
39,1.18169678664397,448.607228794554,increasing_demand,1.06,0.958936796315141,1,0.964148450892662,0.7541104763629,1,0.948582158480146,0.958895085492686,0.941972018095686,1.00014853754411,1.05840408870267,0.754117108119384,0.757353243891327,1.00799766982121,1,0.997997967674717
40,1.21040370872313,455.496890093552,increasing_demand,1.06,0.95198254997791,0.989898123407573,0.952552085997644,0.728833541807695,1,0.958338810391809,0.951940534487446,0.934898686399569,0.990046771250502,1.04834639697276,0.728840403666754,0.732205219782932,1.00799654487585,1,0.997996392603072
41,1.22503611533215,459.008667679717,increasing_demand,1.06,0.947513984062457,0.983347911234629,0.945041258840723,0.712536627577743,1,0.950700526969928,0.94747177044277,0.930352735793843,0.983496541961731,1.04179002123832,0.71254364645396,0.715997223618447,1.00799578719176,1,0.997995308744788
42,1.23712286904883,461.909488571718,increasing_demand,1.06,0.942974782429914,0.976704455238723,0.937418492641674,0.695880155190714,1,0.964863340394675,0.942932365626871,0.925734223160072,0.976853068317188,1.03514021393916,0.695887342153576,0.69943681627065,1.00799498545867,1,0.997994140495785
43,1.24216375700612,463.119301681468,increasing_demand,1.06,0.940662724268567,0.973310203485634,0.933519344321201,0.687365258713627,1,0.960807311774045,0.940620203219709,0.923381492315574,0.973458807431203,1.03174267710991,0.687372534752529,0.690973203766932,1.00799456399912,1,0.997993517844281
44,1.24442550915717,463.66212219772,increasing_demand,1.06,0.939499823015333,0.971602367313522,0.931556626856949,0.683072046861122,1,0.958765544355082,0.939457249339813,0.922198063042717,0.97175096663455,1.03003317793378,0.683079368654961,0.686706436909456,1.00799434843404,1,0.997993197058386
45,1.24549085812451,463.917805949883,increasing_demand,1.06,0.938916764514564,0.97074592895837,0.930572156403286,0.680916773170791,1,0.957741402996423,0.938874164403888,0.921604694247197,0.970894525952921,1.02917590307786,0.680924118152188,0.684564591668145,1.00799423942387,1,0.997993034241578
46,1.24562093778459,463.949025068302,increasing_demand,1.06,0.938843809478725,0.970638759820349,0.930448955957259,0.680646964624719,1,0.957613237007051,0.938801206058048,0.921530448295499,0.970787356523432,1.02906862914593,0.680654312519206,0.684296471434552,1.00799422573973,1,0.997993013774739
47,1.24565335027424,463.956804065816,increasing_demand,1.06,0.938825568207804,0.970611963583878,0.930418150946884,0.680579498634466,1,0.957581190379536,0.938782963959432,0.921511884221795,0.970760560214072,1.02904180670296,0.680586847257737,0.684229427862851,1.00799422231668,1,0.997993008654035
48,1.24566144802297,463.958747525512,increasing_demand,1.06,0.938821007764829,0.970605264327633,0.930410449449901,0.680562631445363,1,0.957573178466724,0.938778403309523,0.92150724307445,0.970753860939604,1.02903510089468,0.680569980250855,0.684212666295422,1.00799422146082,1,0.997993007373657
49,1.24566549555394,463.959718932945,increasing_demand,1.06,0.938818727511995,0.970601914650184,0.930406598640255,0.680554197677761,1,0.957569172446276,0.93877612295322,0.92150492246851,0.970750511253043,1.02903174794112,0.680561546574371,0.684204285342918,1.00799422103286,1,0.997993006733418
50,1.24566751898356,463.960204556054,increasing_demand,1.06,0.938817587377743,0.970600239799131,0.930404673220146,0.680549980750703,1,0.957567169420043,0.938774982767232,0.921503762157474,0.970748836397433,1.02903007145199,0.680557329692873,0.684200094824474,1.00799422081888,1,0.997993006413286
51,1.2456685306144,463.960447347457,increasing_demand,1.06,0.938817017308658,0.970599402370522,0.930403710506271,0.680547872276359,1,0.957566167902926,0.93877441267228,0.92150318199994,0.970747998966546,1.02902923320433,0.68055522124131,0.684197999554704,1.00799422071189,1,0.997993006253217
52,1.24566878351162,463.960508042789,increasing_demand,1.06,0.938816874791142,0.970599193012984,0.930403469827324,0.680547345156422,1,0.957565917523146,0.938774270148297,0.921503036960305,0.970747789608439,1.02902902364203,0.680554694127067,0.684197475735943,1.00799422068514,1,0.9979930062132
53,1.24566890995892,463.96053839014,increasing_demand,1.06,0.938816803532353,0.970599088334168,0.930403349487791,0.680547081596284,1,0.957565792333194,0.938774198886275,0.921502964440455,0.970747684929338,1.02902891886083,0.680554430569777,0.684197213826398,1.00799422067176,1,0.997993006193191
54,1.24566894157058,463.960545976938,increasing_demand,1.06,0.938816785717652,0.970599062164457,0.9304033194029,0.680547015706229,1,0.957565761035698,0.938774181070765,0.921502946310489,0.970747658759556,1.02902889266553,0.680554364680434,0.684197148348991,1.00799422066842,1,0.997993006188188
55,1.24566894536995,463.960546888787,increasing_demand,1.06,0.93881678357652,0.970599059019144,0.930403315787026,0.680547007786965,1,0.957565757274081,0.938774178929536,0.921502944131465,0.970747655614235,1.02902888951714,0.680554356761255,0.684197140479323,1.00799422066802,1,0.997993006187587
56,1.24331596982804,463.395832758731,lower_branch_decreasing_demand,1.06,0.931156201977075,0.961938438897923,0.920658706566154,0.662251405776774,0.992746049303087,0.94742769429675,0.931113246859751,0.913705751554278,0.962087011580862,1.02035967489668,0.662258957888409,0.66601998500747,1.00799303852432,1,0.997991479777204
57,1.23848502134515,462.236405122836,lower_branch_decreasing_demand,1.06,0.923481565095457,0.953269371045295,0.910899014680883,0.643781952540448,0.985483536918165,0.959572082730975,0.923438253035137,0.905892131383361,0.953417919251502,1.01168181739334,0.643789721440782,0.647678507803937,1.0079917953159,1,0.997989838600941
58,1.23125228086663,460.500547407992,lower_branch_decreasing_demand,1.06,0.915958173175275,0.944745089917483,0.90129021695728,0.625558926796885,0.978368823011562,0.949340365231735,0.915914505401347,0.898230387547546,0.944893613513135,1.0031487064575,0.625566922151064,0.629590941180291,1.00799051433523,1,0.997988109790564
59,1.22175080960904,458.220194306169,lower_branch_decreasing_demand,1.06,0.908503873329267,0.936307165212623,0.891772934250142,0.607344508159659,0.971324074590389,0.962087446140519,0.908459847298941,0.890636902283046,0.936455663922791,0.994701861568347,0.607352743453464,0.611522085247676,1.00798917644165,1,0.997986261781817
